H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
0.0331684 373.150000000 OSBORNE et al. (1939) 135
0.0331697 373.150000000 OSBORNE et al. (1939) 136
0.0331704 373.150000000 OSBORNE et al. (1939) 137
0.0331704 373.150000000 OSBORNE et al. (1939) 138
0.0331716 373.150000000 OSBORNE et al. (1939) 139
0.0331722 373.150000000 OSBORNE et al. (1939) 140
0.0331725 373.150000000 OSBORNE et al. (1939) 141
0.0331726 373.150000000 OSBORNE et al. (1939) 142
0.0331734 373.150000000 OSBORNE et al. (1939) 143
0.0331736 373.150000000 OSBORNE et al. (1939) 144
0.0331759 373.150000000 OSBORNE et al. (1939) 145
0.0331788 373.150000000 OSBORNE et al. (1939) 146
