,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
296,70,600.0,0.25,0.715,0.923,0.888,0.37,2.04,1.01188,4.411,-1632.1
297,80,600.0,0.25,0.709,0.922,0.948,0.419,2.15,1.00622,4.526,-1591.9
298,90,600.0,0.25,0.704,0.92,1.01,0.468,2.28,1.0002,4.639,-1551.7
299,100,600.0,0.25,0.697,0.917,1.074,0.519,2.44,0.99385,4.718,-1511.4
300,110,600.0,0.25,0.691,0.915,1.141,0.571,2.61,0.98717,4.855,-1471.0
301,120,600.0,0.25,0.684,0.912,1.211,0.625,2.8,0.98018,4.959,-1430.5
302,130,600.0,0.25,0.676,0.909,1.283,0.682,3.01,0.9729,5.061,-1389.9
303,140,600.0,0.25,0.668,0.906,1.36,0.741,3.24,0.96532,5.161,-1349.2
304,150,600.0,0.25,0.66,0.903,1.441,0.803,3.5,0.95746,5.258,-1308.4
305,160,600.0,0.25,0.651,0.899,1.525,0.868,3.77,0.94931,5.354,-1267.5
306,170,600.0,0.25,0.642,0.895,1.615,0.937,4.07,0.94088,5.447,-1226.5
307,180,600.0,0.25,0.632,0.891,1.709,1.01,4.41,0.93216,5.539,-1185.4
308,190,600.0,0.25,0.622,0.886,1.809,1.087,4.77,0.92316,5.629,-1144.1
309,200,600.0,0.25,0.612,0.882,1.916,1.169,5.17,0.91386,5.718,-1102.6
310,210,600.0,0.25,0.601,0.877,2.028,1.257,5.62,0.90425,5.805,-1060.9
311,220,600.0,0.25,0.59,0.871,2.148,1.35,6.12,0.89433,5.891,-1019.1
312,230,600.0,0.25,0.578,0.866,2.277,1.45,6.68,0.88408,5.975,-977.0
313,240,600.0,0.25,0.567,0.86,2.414,1.558,7.32,0.87349,6.059,-934.6
314,250,600.0,0.25,0.554,0.854,2.563,1.675,8.06,0.86253,6.141,-891.9
315,260,600.0,0.25,0.542,0.847,2.723,1.803,8.92,0.85119,6.223,-848.9
316,270,600.0,0.25,0.528,0.84,2.898,1.943,9.95,0.83944,6.318,-805.5
317,280,600.0,0.25,0.515,0.832,3.091,2.099,11.2,0.82725,6.383,-761.7
318,290,600.0,0.25,0.501,0.824,3.305,2.274,12.75,0.81459,6.462,-717.5
319,300,600.0,0.25,0.486,0.815,3.546,2.473,14.72,0.80143,6.541,-672.7
320,0,800.0,0.25,0.734,0.926,0.429,-0.042,2.72,1.04716,3.499,-1892.7
321,10,800.0,0.25,0.735,0.928,0.515,0.044,2.14,1.04471,3.639,-1853.7
322,20,800.0,0.25,0.734,0.928,0.584,0.11,1.89,1.04165,3.775,-1814.5
323,25,800.0,0.25,0.734,0.928,0.616,0.139,1.82,1.03992,3.842,-1794.8
324,30,800.0,0.25,0.733,0.928,0.646,0.167,1.78,1.03806,3.908,-1775.0
325,40,800.0,0.25,0.73,0.928,0.703,0.218,1.76,1.034,4.036,-1735.3
326,50,800.0,0.25,0.727,0.927,0.759,0.266,1.78,1.0295,4.161,-1695.6
327,60,800.0,0.25,0.723,0.926,0.814,0.312,1.83,1.02461,4.282,-1655.8
328,70,800.0,0.25,0.718,0.925,0.869,0.357,1.92,1.01936,4.4,-1616.0
329,80,800.0,0.25,0.713,0.923,0.925,0.403,2.03,1.01376,4.515,-1576.1
330,90,800.0,0.25,0.708,0.921,0.984,0.449,2.15,1.00783,4.626,-1536.2
331,100,800.0,0.25,0.702,0.919,1.044,0.497,2.29,1.00159,4.735,-1496.2
332,110,800.0,0.25,0.695,0.917,1.106,0.545,2.44,0.99506,4.841,-1456.1
333,110,800.0,0.25,0.695,0.917,1.106,0.88,2.44,0.99506,4.841,-1456.1
334,120,800.0,0.25,0.688,0.914,1.171,0.596,2.61,0.98825,4.945,-1415.9
335,130,800.0,0.25,0.681,0.911,1.239,0.648,2.79,0.98117,5.046,-1375.6
336,140,800.0,0.25,0.673,0.908,1.31,0.702,2.99,0.97382,5.145,-1335.3
337,150,800.0,0.25,0.665,0.905,1.384,0.759,3.2,0.96621,5.241,-1294.8
338,160,800.0,0.25,0.657,0.902,1.461,0.818,3.43,0.95836,5.336,-1254.3
339,180,800.0,0.25,0.639,0.894,1.628,0.944,3.95,0.94189,5.52,-1173.0
340,190,800.0,0.25,0.63,0.89,1.717,1.012,4.23,0.93328,5.609,-1132.1
341,200,800.0,0.25,0.62,0.886,1.81,1.083,4.54,0.92441,5.696,-1091.2
342,210,800.0,0.25,0.61,0.881,1.909,1.158,4.87,0.91529,5.782,-1050.1
343,220,800.0,0.25,0.6,0.876,2.012,1.237,5.23,0.9059,5.867,-1008.8
344,230,800.0,0.25,0.589,0.871,2.121,1.32,5.61,0.89623,5.95,-967.3
345,240,800.0,0.25,0.578,0.866,2.235,1.408,6.04,0.88628,6.032,-925.7
346,250,800.0,0.25,0.567,0.86,2.357,1.501,6.51,0.87603,6.113,-883.5
347,260,800.0,0.25,0.555,0.854,2.485,1.6,7.04,0.86548,6.192,-841.7
348,270,800.0,0.25,0.543,0.847,2.621,1.705,7.64,0.8546,6.271,-799.3
349,280,800.0,0.25,0.531,0.841,2.766,1.819,8.33,0.84339,6.349,-756.6
350,290,800.0,0.25,0.518,0.834,2.923,1.941,9.15,0.83181,6.426,-713.6
351,300,800.0,0.25,0.505,0.826,3.092,2.075,10.15,0.81985,6.502,-670.3
352,0,1000.0,0.25,0.737,0.928,0.437,-0.028,2.53,1.05548,3.495,-1874.8
353,10,1000.0,0.25,0.738,0.929,0.517,0.052,2.01,1.05249,3.634,-1836.2
354,20,1000.0,0.25,0.738,0.93,0.582,0.114,1.78,1.04919,3.769,-1797.2
355,25,1000.0,0.25,0.737,0.93,0.612,0.141,1.72,1.04737,3.835,-1777.6
356,30,1000.0,0.25,0.736,0.93,0.64,0.167,1.69,1.04544,3.9,-1758.0
357,40,1000.0,0.25,0.733,0.929,0.694,0.215,1.67,1.04127,4.028,-1718.6
358,50,1000.0,0.25,0.73,0.929,0.747,0.26,1.63,1.03672,4.152,-1679.1
359,60,1000.0,0.25,0.726,0.928,0.799,0.304,1.73,1.03181,4.273,-1639.6
360,70,1000.0,0.25,0.722,0.926,0.851,0.346,1.82,1.02656,4.39,-1600.0
361,80,1000.0,0.25,0.717,0.925,0.905,0.389,1.92,1.021,4.504,-1560.4
362,90,1000.0,0.25,0.711,0.923,0.96,0.433,2.03,1.01515,4.615,-1520.7
363,100,1000.0,0.25,0.705,0.921,1.017,0.477,2.16,1.00901,4.723,-1480.9
364,110,1000.0,0.25,0.699,0.918,1.076,0.523,2.3,1.0026,4.828,-1441.1
365,120,1000.0,0.25,0.693,0.916,1.117,0.57,2.45,0.99593,4.931,-1401.2
366,130,1000.0,0.25,0.686,0.913,1.2,0.618,2.61,0.98901,5.031,-1361.2
367,140,1000.0,0.25,0.678,0.91,1.266,0.669,2.78,0.98186,5.129,-1321.2
368,150,1000.0,0.25,0.671,0.907,1.335,0.721,2.96,0.97447,5.225,-1281.1
369,160,1000.0,0.25,0.663,0.904,1.406,0.775,3.16,0.96685,5.319,-1240.9
370,170,1000.0,0.25,0.654,0.901,1.481,0.831,3.37,0.95901,5.411,-1200.6
371,180,1000.0,0.25,0.646,0.897,1.558,0.889,3.58,0.95095,5.501,-1160.3
372,190,1000.0,0.25,0.637,0.893,1.639,0.95,3.81,0.94266,5.589,-1119.8
373,200,1000.0,0.25,0.628,0.889,1.723,1.013,4.05,0.93415,5.616,-1075.3
374,210,1000.0,0.25,0.618,0.885,1.81,1.078,4.31,0.92542,5.761,-1038.6
375,220,1000.0,0.25,0.608,0.88,1.901,1.147,4.57,0.91645,5.844,-997.9
376,230,1000.0,0.25,0.598,0.875,1.996,1.217,4.85,0.90726,5.926,-957.0
377,240,1000.0,0.25,0.588,0.87,2.094,1.291,5.15,0.89782,6.007,-915.9
378,250,1000.0,0.25,0.577,0.865,2.196,1.368,5.46,0.88814,6.087,-874.1
379,260,1000.0,0.25,0.567,0.86,2.303,1.448,5.8,0.8782,6.165,-833.3
380,270,1000.0,0.25,0.556,0.854,2.414,1.531,6.18,0.868,6.242,-791.7
381,280,1000.0,0.25,0.544,0.848,2.531,1.619,6.6,0.85753,6.319,-749.9
382,290,1000.0,0.25,0.533,0.841,2.653,1.711,7.08,0.84677,6.394,-707.9
383,300,1000.0,0.25,0.521,0.834,2.783,1.81,7.68,0.83571,6.468,-665.7
384,0,1.0,0.5,0.672,0.912,0.316,-0.304,5.99,1.02156,3.492,-1939.8
385,10,1.0,0.5,0.678,0.917,0.499,-0.113,4.42,1.02051,3.637,-1899.5
386,20,1.0,0.5,0.681,0.921,0.638,0.028,3.69,1.0185,3.777,-1859.2
387,25,1.0,0.5,0.681,0.922,0.699,0.087,3.48,1.0171,3.845,-1839.0
388,30,1.0,0.5,0.681,0.923,0.755,0.142,3.35,1.0155,3.912,-1818.8
389,40,1.0,0.5,0.68,0.924,0.861,0.242,3.21,1.01176,4.043,-1778.4
390,50,1.0,0.5,0.676,0.924,0.962,0.333,3.19,1.00738,4.171,-1737.9
391,60,1.0,0.5,0.672,0.923,1.06,0.42,3.25,1.00244,4.294,-1697.5
392,60,1.0,0.5,0.672,0.923,1.06,0.42,3.25,1.00244,4.53,-1697.5
393,70,1.0,0.5,0.667,0.921,1.157,0.504,3.39,0.99689,4.414,-1657.0
394,90,1.0,0.5,0.653,0.917,1.36,0.673,3.81,0.98451,4.644,-1575.8
395,100,1.0,0.5,0.644,0.914,1.468,0.761,4.1,0.97767,4.754,-1535.1
396,110,1.4,0.5,0.635,0.91,1.58,0.852,4.43,0.97043,4.862,-1494.2
397,120,2.0,0.5,0.625,0.906,1.699,0.948,4.82,0.96279,4.968,-1453.2
398,130,2.7,0.5,0.615,0.902,1.825,1.049,5.27,0.95471,5.071,-1412.1
399,140,3.6,0.5,0.604,0.897,1.96,1.157,5.79,0.94636,5.172,-1370.8
400,150,4.8,0.5,0.592,0.892,2.105,1.273,6.39,0.93757,5.271,-1329.3
401,160,6.2,0.5,0.58,0.886,2.261,1.398,7.03,0.92838,5.368,-1287.6
402,170,7.9,0.5,0.567,0.88,2.43,1.534,7.89,0.9188,5.463,-1245.7
403,180,10.0,0.5,0.553,0.873,2.615,1.683,8.85,0.90881,5.557,-1203.5
404,190,12.5,0.5,0.539,0.866,2.817,1.848,9.93,0.89838,5.649,-1161.0
405,200,15.5,0.5,0.524,0.858,3.04,2.03,11.33,0.88751,5.74,-1118.1
406,210,19.1,0.5,0.508,0.85,3.289,2.235,12.99,0.87616,5.829,-1074.9
407,220,23.2,0.5,0.492,0.841,3.567,2.466,15.03,0.8643,5.918,-1031.2
408,230,28.0,0.5,0.475,0.831,3.883,2.731,17.59,0.85191,6.005,-987.1
409,240,33.4,0.5,0.457,0.821,4.245,3.038,20.87,0.83893,6.092,-942.3
410,250,39.7,0.5,0.439,0.81,4.666,3.399,25.15,0.82533,6.178,-896.9
411,260,46.9,0.5,0.42,0.797,5.163,3.831,30.89,0.81105,6.264,-850.8
412,270,55.0,0.5,0.399,0.784,5.76,4.357,38.74,0.79603,6.349,-803.9
413,280,64.1,0.5,0.378,0.769,6.496,5.012,49.84,0.78021,6.434,-756.0
414,290,74.4,0.5,0.356,0.752,7.423,5.85,66.02,0.76351,6.52,-707.1
415,300,85.8,0.5,0.332,0.734,8.63,6.956,90.52,0.74586,6.605,-657.1
416,0,200.0,0.5,0.678,0.915,0.344,-0.264,5.46,1.03099,3.491,-1920.7
417,10,200.0,0.5,0.684,0.92,0.512,-0.09,4.06,1.02953,3.634,-1881.0
418,20,200.0,0.5,0.686,0.923,0.64,0.04,3.42,1.0271,3.772,-1841.2
419,25,200.0,0.5,0.686,0.924,0.697,0.095,3.24,1.02559,3.839,-1821.3
420,30,200.0,0.5,0.686,0.925,0.749,0.146,3.12,1.0239,3.906,-1801.3
421,40,200.0,0.5,0.684,0.926,0.848,0.238,3.0,1.02006,4.036,-1761.3
422,50,200.0,0.5,0.681,0.926,0.942,0.323,2.98,1.01564,4.162,-1721.2
423,60,200.0,0.5,0.677,0.925,1.034,0.404,3.04,1.01072,4.284,-1681.1
424,70,200.0,0.5,0.672,0.923,1.125,0.482,3.16,1.00528,4.402,-1641.0
425,80,200.0,0.5,0.665,0.921,1.218,0.561,3.33,0.99944,4.518,-1600.8
426,90,200.0,0.5,0.658,0.919,1.314,0.639,3.53,0.9932,4.63,-1560.5
427,100,200.0,0.5,0.65,0.916,1.413,0.72,3.78,0.98657,4.74,-1520.2
428,110,200.0,0.5,0.642,0.913,1.517,0.804,4.07,0.97957,4.847,-1479.7
429,120,200.0,0.5,0.632,0.909,1.626,0.891,4.4,0.97221,4.951,-1439.2
430,130,200.0,0.5,0.622,0.905,1.741,0.983,4.78,0.9645,5.053,-1398.5
431,140,200.0,0.5,0.612,0.901,1.864,1.08,5.21,0.95644,5.153,-1357.7
432,150,200.0,0.5,0.601,0.896,1.994,1.183,5.7,0.94803,5.251,-1316.8
433,160,200.0,0.5,0.589,0.89,2.133,1.294,6.26,0.93927,5.347,-1275.7
434,170,200.0,0.5,0.577,0.885,2.283,1.413,6.89,0.93015,5.441,-1234.5
435,180,200.0,0.5,0.564,0.878,2.445,1.541,7.63,0.92065,5.534,-1193.0
436,190,200.0,0.5,0.55,0.872,2.621,1.682,8.48,0.91076,5.625,-1151.3
437,200,200.0,0.5,0.536,0.865,2.812,1.836,9.47,0.90047,5.714,-1109.4
438,210,200.0,0.5,0.521,0.857,3.022,2.006,10.66,0.88913,5.803,-1067.2
439,220,200.0,0.5,0.506,0.849,3.254,2.195,12.08,0.87853,5.89,-1024.7
440,230,200.0,0.5,0.49,0.84,3.514,2.408,13.82,0.86683,5.976,-981.7
441,240,200.0,0.5,0.474,0.83,3.806,2.651,16.0,0.85458,6.061,-938.3
442,250,200.0,0.5,0.456,0.82,4.141,2.932,18.78,0.84172,6.146,-894.4
443,260,200.0,0.5,0.438,0.809,4.529,3.261,22.42,0.82821,6.23,-849.9
444,270,200.0,0.5,0.419,0.797,4.988,3.657,27.31,0.81396,6.314,-804.7
445,280,200.0,0.5,0.399,0.783,5.545,4.142,34.12,0.79888,6.398,-758.7
446,290,200.0,0.5,0.378,0.768,6.239,4.756,43.98,0.78289,6.482,-711.7
447,300,200.0,0.5,0.355,0.751,7.134,5.561,58.9,0.76586,6.567,-663.7
448,0,400.0,0.5,0.684,0.919,0.37,-0.226,4.97,1.04005,3.489,-1902.0
449,10,400.0,0.5,0.689,0.923,0.524,-0.067,3.74,1.03813,3.629,-1862.8
450,20,400.0,0.5,0.691,0.926,0.643,0.052,3.17,1.0354,3.766,-1823.5
451,25,400.0,0.5,0.691,0.927,0.695,0.102,3.02,1.03379,3.833,-1803.7
452,30,400.0,0.5,0.691,0.927,0.744,0.15,2.91,1.03202,3.899,-1783.9
453,40,400.0,0.5,0.689,0.928,0.836,0.236,2.8,1.02906,4.028,-1744.2
454,50,400.0,0.5,0.686,0.928,0.924,0.315,2.79,1.0236,4.153,-1704.5
455,60,400.0,0.5,0.682,0.927,1.01,0.39,2.85,1.01868,4.274,-1664.7
456,70,400.0,0.5,0.676,0.926,1.096,0.463,2.96,1.01332,4.391,-1624.9
457,80,400.0,0.5,0.67,0.924,1.183,0.536,3.1,1.00758,4.506,-1585.0
458,90,400.0,0.5,0.664,0.921,1.272,0.609,3.29,1.00148,4.618,-1545.1
459,100,400.0,0.5,0.656,0.919,1.364,0.684,3.51,0.99503,4.726,-1505.1
460,110,400.0,0.5,0.648,0.916,1.46,0.76,3.76,0.98824,4.832,-1465.0
461,120,400.0,0.5,0.639,0.912,1.561,0.84,4.04,0.98113,4.936,-1424.8
462,130,400.0,0.5,0.629,0.908,1.666,0.924,4.37,0.9737,5.037,-1384.5
463,140,400.0,0.5,0.619,0.904,1.777,1.011,4.73,0.96597,5.136,-1344.1
464,150,400.0,0.5,0.609,0.9,1.895,1.104,5.13,0.95793,5.233,-1303.6
465,160,400.0,0.5,0.598,0.895,2.02,1.202,5.58,0.94959,5.328,-1263.0
466,170,400.0,0.5,0.586,0.889,2.153,1.306,6.08,0.94093,5.421,-1222.2
467,180,400.0,0.5,0.574,0.884,2.295,1.418,6.65,0.93196,5.512,-1181.3
468,190,400.0,0.5,0.561,0.878,2.447,1.537,7.29,0.92266,5.602,-1140.3
469,200,400.0,0.5,0.548,0.871,2.61,1.666,8.01,0.91303,5.69,-1099.0
470,210,400.0,0.5,0.535,0.854,2.786,1.806,8.84,0.90304,5.776,-1057.6
471,220,400.0,0.5,0.521,0.857,2.977,1.958,9.8,0.89267,5.862,-1015.9
472,230,400.0,0.5,0.506,0.849,3.184,2.125,10.93,0.88191,5.946,-973.9
473,240,400.0,0.5,0.491,0.84,3.412,2.309,12.26,0.87073,6.029,-931.6
474,250,400.0,0.5,0.475,0.831,3.664,2.514,13.88,0.85909,6.112,-889.0
475,260,400.0,0.5,0.459,0.821,3.944,2.745,15.86,0.84597,6.193,-845.9
476,270,400.0,0.5,0.442,0.811,4.261,3.009,18.36,0.83431,6.274,-802.4
477,280,400.0,0.5,0.425,0.799,4.624,3.314,21.57,0.82108,6.354,-758.4
478,290,400.0,0.5,0.407,0.787,5.047,3.674,25.82,0.80721,6.434,-713.8
479,300,400.0,0.5,0.388,0.773,5.549,4.108,31.62,0.79265,6.514,-668.5
480,0,600.0,0.5,0.69,0.922,0.394,-0.192,4.53,1.04873,3.486,-1883.7
481,10,600.0,0.5,0.694,0.926,0.535,-0.047,3.45,1.04639,3.625,-1845.0
482,20,600.0,0.5,0.696,0.928,0.545,0.063,2.95,1.0434,3.76,-1806.0
483,25,600.0,0.5,0.696,0.929,0.593,0.11,2.81,1.04168,3.826,-1786.4
484,30,600.0,0.5,0.695,0.93,0.739,0.154,2.72,1.03984,3.892,-1766.7
485,40,600.0,0.5,0.694,0.93,0.826,0.234,2.63,1.03577,4.02,-1727.4
486,50,600.0,0.5,0.69,0.93,0.908,0.308,2.62,1.03126,4.144,-1687.9
487,60,600.0,0.5,0.686,0.929,0.989,0.378,2.67,1.02633,4.264,-1648.4
488,70,600.0,0.5,0.681,0.928,1.069,0.446,2.77,1.02102,4.381,-1608.9
489,80,600.0,0.5,0.675,0.926,1.15,0.513,2.91,1.01536,4.495,-1569.3
490,90,600.0,0.5,0.669,0.924,1.234,0.582,3.07,1.00937,4.605,-1529.7
491,100,600.0,0.5,0.661,0.921,1.32,0.651,3.27,1.00306,4.713,-1490.0
492,110,600.0,0.5,0.653,0.918,1.409,0.722,3.49,0.99644,4.818,-1450.2
493,120,600.0,0.5,0.645,0.915,1.502,0.796,3.74,0.98953,4.921,-1410.3
494,130,600.0,0.5,0.636,0.911,1.599,0.872,4.02,0.98234,5.021,-1370.3
495,140,600.0,0.5,0.626,0.907,1.702,0.952,4.32,0.97488,5.12,-1330.3
496,150,600.0,0.5,0.616,0.903,1.809,1.035,4.66,0.96714,5.216,-1290.2
497,160,600.0,0.5,0.606,0.898,1.922,1.123,5.04,0.95913,5.309,-1249.9
498,170,600.0,0.5,0.595,0.894,2.042,1.216,5.44,0.95085,5.401,-1209.6
499,180,600.0,0.5,0.584,0.888,2.168,1.314,5.89,0.9423,5.492,-1169.2
500,190,600.0,0.5,0.572,0.883,2.302,1.418,6.39,0.93347,5.58,-1128.6
501,200,600.0,0.5,0.559,0.877,2.444,1.529,6.94,0.92436,5.667,-1088.0
502,210,600.0,0.5,0.547,0.87,2.595,1.647,7.55,0.91495,5.753,-1047.1
503,220,600.0,0.5,0.534,0.863,2.757,1.774,8.23,0.90523,5.837,-1006.1
504,230,600.0,0.5,0.52,0.856,2.93,1.909,9.0,0.89519,5.919,-964.9
505,240,600.0,0.5,0.506,0.848,3.115,2.056,9.87,0.88481,6.001,-923.5
506,250,600.0,0.5,0.492,0.84,3.315,2.215,10.88,0.87407,6.081,-881.8
507,260,600.0,0.5,0.477,0.831,3.532,2.388,12.06,0.86295,6.161,-839.8
508,270,600.0,0.5,0.462,0.822,3.769,2.579,13.47,0.85142,6.239,-797.5
509,280,600.0,0.5,0.446,0.812,4.03,2.791,15.18,0.83945,6.317,-754.9
510,290,600.0,0.5,0.43,0.801,4.32,3.029,17.3,0.827,6.394,-711.9
511,300,600.0,0.5,0.413,0.79,4.647,3.3,19.99,0.81402,6.47,-668.5
512,0,800.0,0.5,0.696,0.925,0.415,-0.16,4.14,1.05704,3.482,-1865.8
513,10,800.0,0.5,0.699,0.929,0.545,-0.028,3.19,1.05435,3.62,-1827.4
514,20,800.0,0.5,0.7,0.931,0.647,0.074,2.75,1.05111,3.754,-1788.7
515,25,800.0,0.5,0.7,0.931,0.692,0.117,2.63,1.0493,3.82,-1769.2
516,30,800.0,0.5,0.7,0.932,0.735,0.158,2.55,1.04738,3.885,-1749.7
517,40,800.0,0.5,0.698,0.932,0.816,0.233,2.47,1.04321,4.012,-1710.6
518,50,800.0,0.5,0.695,0.932,0.894,0.302,2.45,1.03864,4.135,-1671.4
519,60,800.0,0.5,0.691,0.931,0.969,0.367,2.5,1.03371,4.254,-1632.2
520,70,800.0,0.5,0.685,0.929,1.044,0.43,2.61,1.02842,4.37,-1592.9
521,80,800.0,0.5,0.68,0.928,1.121,0.493,2.73,1.02282,4.483,-1553.6
522,90,800.0,0.5,0.673,0.926,1.199,0.557,2.89,1.01691,4.593,-1514.2
523,100,800.0,0.5,0.666,0.923,1.28,0.622,3.06,1.01071,4.7,-1474.8
524,110,800.0,0.5,0.659,0.92,1.363,0.688,3.26,1.00423,4.805,-1435.3
525,110,800.0,0.5,0.659,0.92,1.363,1.14,3.26,1.00423,4.805,-1435.3
526,120,800.0,0.5,0.651,0.917,1.45,0.756,3.43,0.99749,4.907,-1395.7
527,130,800.0,0.5,0.642,0.914,1.541,0.827,3.72,0.99049,5.007,-1356.0
528,140,800.0,0.5,0.633,0.91,1.635,0.9,3.99,0.98324,5.104,-1316.3
529,150,800.0,0.5,0.623,0.906,1.734,0.971,4.23,0.97575,5.199,-1276.5
530,160,800.0,0.5,0.614,0.902,1.838,1.056,4.6,0.96801,5.292,-1236.6
531,180,800.0,0.5,0.592,0.892,2.06,1.228,5.3,0.95182,5.473,-1156.7
532,190,800.0,0.5,0.581,0.887,2.18,1.32,5.7,0.94337,5.56,-1116.6
533,200,800.0,0.5,0.569,0.882,2.307,1.417,6.13,0.93467,5.646,-1076.3
534,210,800.0,0.5,0.557,0.876,2.44,1.519,6.59,0.92572,5.731,-1036.0
535,220,800.0,0.5,0.545,0.869,2.58,1.627,7.1,0.91651,5.813,-995.6
536,230,800.0,0.5,0.532,0.863,2.728,1.742,7.66,0.90703,5.895,-955.0
537,240,800.0,0.5,0.519,0.856,2.884,1.863,8.27,0.89727,5.975,-914.2
538,250,800.0,0.5,0.506,0.848,3.05,1.992,8.95,0.88723,6.054,-873.3
539,260,800.0,0.5,0.492,0.84,3.227,2.129,9.72,0.87687,6.132,-832.2
540,270,800.0,0.5,0.478,0.831,3.416,2.277,10.6,0.86619,6.209,-790.8
541,280,800.0,0.5,0.464,0.822,3.618,2.436,11.64,0.85517,6.285,-749.3
542,290,800.0,0.5,0.449,0.813,3.838,2.611,12.88,0.84377,6.359,-707.6
543,300,800.0,0.5,0.434,0.802,4.077,2.803,14.41,0.83196,6.433,-665.6
544,0,1000.0,0.5,0.701,0.928,0.435,-0.131,3.8,1.06498,3.477,-1848.2
545,10,1000.0,0.5,0.704,0.931,0.554,-0.009,2.95,1.062,3.634,-1810.0
546,20,1000.0,0.5,0.705,0.933,0.649,0.084,2.57,1.05855,3.748,-1777.6
547,25,1000.0,0.5,0.705,0.933,0.692,0.125,2.46,1.05666,3.813,-1752.3
548,30,1000.0,0.5,0.704,0.934,0.732,0.163,2.39,1.05467,3.817,-1732.9
549,40,1000.0,0.5,0.702,0.934,0.808,0.233,2.32,1.0504,4.004,-1694.0
550,50,1000.0,0.5,0.699,0.933,0.881,0.297,2.31,1.04578,4.126,-1655.1
551,60,1000.0,0.5,0.695,0.933,0.952,0.358,2.35,1.04083,4.245,-1616.1
552,70,1000.0,0.5,0.69,0.931,1.022,0.416,2.46,1.03555,4.36,-1577.1
553,80,1000.0,0.5,0.684,0.929,1.094,0.476,2.58,1.02998,4.472,-1538.0
554,90,1000.0,0.5,0.678,0.927,1.168,0.536,2.72,1.02414,4.582,-1498.8
555,100,1000.0,0.5,0.671,0.925,1.244,0.597,2.88,1.01803,4.688,-1459.6
556,110,1000.0,0.5,0.664,0.923,1.323,0.659,3.06,1.01166,4.792,-1420.4
557,120,1000.0,0.5,0.656,0.92,1.404,0.722,3.26,1.00504,4.893,-1381.1
558,130,1000.0,0.5,0.648,0.916,1.489,0.788,3.48,0.9982,4.992,-1341.7
559,140,1000.0,0.5,0.639,0.913,1.577,0.856,3.72,0.99112,5.089,-1302.2
560,150,1000.0,0.5,0.63,0.909,1.669,0.926,3.97,0.98382,5.183,-1262.1
561,160,1000.0,0.5,0.62,0.905,1.765,1.0,4.24,0.97531,5.276,-1223.2
562,170,1000.0,0.5,0.61,0.901,1.865,1.076,4.53,0.96358,5.366,-1183.5
563,180,1000.0,0.5,0.6,0.896,1.969,1.156,4.84,0.96063,5.455,-1143.9
564,190,1000.0,0.5,0.589,0.891,2.078,1.239,5.16,0.95248,5.542,-1104.1
565,200,1000.0,0.5,0.578,0.886,2.192,1.325,5.51,0.9441,5.627,-1064.3
566,210,1000.0,0.5,0.567,0.88,2.311,1.416,5.88,0.93551,5.71,-1024.4
567,220,1000.0,0.5,0.555,0.874,2.436,1.51,6.28,0.9257,5.792,-984.5
568,230,1000.0,0.5,0.543,0.868,2.566,1.609,6.7,0.91767,5.872,-944.4
569,240,1000.0,0.5,0.531,0.862,2.702,1.713,7.15,0.90839,5.951,-904.2
570,250,1000.0,0.5,0.518,0.855,2.845,1.821,7.65,0.89888,6.029,-863.9
571,260,1000.0,0.5,0.505,0.847,2.995,1.935,8.19,0.88912,6.106,-823.5
572,270,1000.0,0.5,0.492,0.839,3.153,2.056,8.81,0.87909,6.181,-782.9
573,280,1000.0,0.5,0.479,0.831,3.32,2.185,9.52,0.86879,6.255,-742.2
574,290,1000.0,0.5,0.465,0.822,3.498,2.322,10.38,0.8582,6.329,-701.4
575,300,1000.0,0.5,0.451,0.812,3.689,2.472,11.46,0.84729,6.401,-660.5
576,0,1.0,0.75,0.649,0.913,0.2,-0.491,7.92,1.032,3.475,-1912.4
577,10,1.0,0.75,0.658,0.921,0.441,-0.237,5.76,1.03065,3.617,-1872.8
578,20,1.0,0.75,0.663,0.926,0.621,-0.052,4.73,1.02827,3.755,-1833.2
579,25,1.0,0.75,0.665,0.928,0.698,0.025,4.44,1.02676,3.822,-1813.3
580,30,1.0,0.75,0.665,0.929,0.77,0.096,4.23,1.02507,3.888,-1793.4
581,40,1.0,0.75,0.665,0.931,0.903,0.224,4.0,1.02119,4.016,-1753.6
582,50,1.0,0.75,0.662,0.932,1.027,0.34,3.94,1.01672,4.143,-1713.8
583,60,1.0,0.75,0.658,0.931,1.148,0.448,3.98,1.01172,4.264,-1673.9
584,60,1.0,0.75,0.658,0.931,1.148,0.448,3.98,1.01172,4.497,-1673.9
585,70,1.0,0.75,0.652,0.93,1.267,0.552,4.11,1.00611,4.362,-1634.0
586,90,1.0,0.75,0.637,0.925,1.511,0.759,4.56,0.99373,4.609,-1554.1
587,100,1.0,0.75,0.628,0.922,1.639,0.865,4.88,0.98692,4.718,-1514.0
588,110,1.4,0.75,0.618,0.918,1.773,0.975,5.27,0.97974,4.824,-1473.8
589,120,2.0,0.75,0.607,0.913,1.914,1.09,5.71,0.97218,4.928,-1433.4
590,130,2.7,0.75,0.596,0.909,2.063,1.21,6.23,0.96425,5.029,-1392.9
591,140,3.6,0.75,0.583,0.903,2.223,1.338,6.83,0.95596,5.128,-1352.3
