Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
370,25,17.491,67.452
370,25.5,17.424,67.173
370,26,17.361,66.905
370,26.5,17.301,66.647
370,27,17.244,66.399
370,27.5,17.19,66.16
370,28,17.139,65.929
370,28.5,17.09,65.706
370,29,17.044,65.49
370,29.5,16.999,65.282
370,30,16.957,65.08
370,30.5,16.917,64.884
370,31,16.879,64.694
370,31.5,16.843,64.509
370,32,16.808,64.329
370,32.5,16.775,64.155
370,33,16.743,63.984
370,33.5,16.713,63.819
370,34,16.684,63.657
370,34.5,16.656,63.5
370,35,16.629,63.346
370,35.5,16.604,63.195
370,36,16.58,63.049
380,8,23.278,89.305
380,8.5,23.12,88.482
380,9,22.961,87.682
380,9.5,22.799,86.901
380,10,22.636,86.139
380,10.5,22.47,85.392
380,11,22.303,84.66
380,11.5,22.134,83.94
380,12,21.964,83.233
380,12.5,21.793,82.538
380,13,21.621,81.854
380,13.5,21.45,81.182
380,14,21.278,80.522
380,14.5,21.108,79.874
380,15,20.939,79.239
380,15.5,20.772,78.617
380,16,20.608,78.011
380,16.5,20.446,77.419
380,17,20.289,76.844
380,17.5,20.135,76.287
380,18,19.986,75.746
380,18.5,19.843,75.224
380,19,19.704,74.721
380,19.5,19.571,74.235
380,20,19.443,73.769
380,20.5,19.321,73.32
380,21,19.204,72.89
380,21.5,19.093,72.477
380,22,18.987,72.08
380,22.5,18.887,71.7
380,23,18.791,71.336
380,23.5,18.7,70.986
380,24,18.614,70.65
380,24.5,18.532,70.328
380,25,18.454,70.018
380,25.5,18.379,69.72
380,26,18.309,69.433
380,26.5,18.242,69.157
380,27,18.178,68.891
380,27.5,18.118,68.634
380,28,18.06,68.386
380,28.5,18.005,68.146
380,29,17.952,67.914
380,29.5,17.902,67.69
380,30,17.855,67.472
380,30.5,17.809,67.261
380,31,17.765,67.057
380,31.5,17.724,66.858
380,32,17.684,66.665
380,32.5,17.645,66.477
380,33,17.609,66.294
380,33.5,17.574,66.116
380,34,17.54,65.942
380,34.5,17.508,65.773
380,35,17.477,65.607
380,35.5,17.448,65.446
380,36,17.42,65.289
390,8,23.84,90.767
390,8.5,23.697,89.981
390,9,23.553,89.22
390,9.5,23.407,88.481
390,10,23.26,87.762
390,10.5,23.112,87.06
390,11,22.962,86.374
390,11.5,22.812,85.702
390,12,22.661,85.044
390,12.5,22.509,84.399
390,13,22.357,83.765
390,13.5,22.205,83.144
390,14,22.053,82.535
390,14.5,21.902,81.937
390,15,21.752,81.35
390,15.5,21.603,80.776
390,16,21.455,80.214
390,16.5,21.31,79.664
390,17,21.167,79.127
390,17.5,21.027,78.604
390,18,20.89,78.094
390,18.5,20.756,77.598
390,19,20.626,77.116
390,19.5,20.5,76.649
390,20,20.377,76.196
390,20.5,20.259,75.758
390,21,20.145,75.334
390,21.5,20.035,74.924
390,22,19.929,74.528
390,22.5,19.828,74.145
390,23,19.73,73.776
390,23.5,19.637,73.42
390,24,19.548,73.077
390,24.5,19.462,72.745
390,25,19.38,72.426
390,25.5,19.302,72.117
390,26,19.227,71.819
390,26.5,19.156,71.531
390,27,19.087,71.252
390,27.5,19.022,70.983
390,28,18.959,70.723
390,28.5,18.9,70.471
390,29,18.842,70.227
390,29.5,18.788,69.99
390,30,18.735,69.76
390,30.5,18.685,69.538
390,31,18.637,69.321
390,31.5,18.591,69.111
390,32,18.547,68.907
390,32.5,18.504,68.708
390,33,18.464,68.514
390,33.5,18.425,68.326
390,34,18.387,68.142
390,34.5,18.351,67.963
390,35,18.317,67.788
390,35.5,18.284,67.617
390,36,18.252,67.45
400,8,24.387,92.151
400,8.5,24.256,91.396
400,9,24.125,90.667
400,9.5,23.992,89.96
400,10,23.858,89.275
400,10.5,23.723,88.608
400,11,23.588,87.958
400,11.5,23.452,87.323
400,12,23.316,86.703
400,12.5,23.179,86.096
400,13,23.043,85.501
400,13.5,22.906,84.919
400,14,22.77,84.349
400,14.5,22.634,83.79
400,15,22.499,83.242
400,15.5,22.365,82.705
400,16,22.232,82.179
400,16.5,22.1,81.664
400,17,21.97,81.161
400,17.5,21.843,80.669
400,18,21.717,80.188
400,18.5,21.594,79.718
400,19,21.473,79.26
400,19.5,21.355,78.814
400,20,21.24,78.38
400,20.5,21.128,77.957
400,21,21.019,77.546
400,21.5,20.913,77.147
400,22,20.811,76.759
400,22.5,20.712,76.383
400,23,20.616,76.018
400,23.5,20.523,75.664
